City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Ostrovnoy,RU,2020-02-24 01:41:23,68.05,39.51,26.56,92,100,9.4,overcast clouds,0.0,0.0
1,Shubarkuduk,KZ,2020-02-24 01:41:23,49.14,56.49,22.21,95,100,16.82,light snow,0.0,0.022047244094488192
2,Henderson,US,2020-02-24 01:41:23,36.04,-114.98,64.4,31,1,5.95,clear sky,0.0,0.0
3,Puerto Ayora,EC,2020-02-24 01:41:24,-0.74,-90.35,79.0,100,88,3.0,light rain,0.02716535433070866,0.0
4,Saint-Philippe,RE,2020-02-24 01:41:24,-21.36,55.77,75.2,69,19,6.93,few clouds,0.0,0.0
5,Busselton,AU,2020-02-24 01:41:24,-33.65,115.33,80.01,34,100,15.21,overcast clouds,0.0,0.0
6,Bredasdorp,ZA,2020-02-24 01:41:24,-34.53,20.04,63.0,81,0,5.82,clear sky,0.0,0.0
7,Kargil,IN,2020-02-24 01:41:24,34.57,76.1,-4.94,81,0,1.57,clear sky,0.0,0.0
8,Mahebourg,MU,2020-02-24 01:41:25,-20.41,57.7,73.99,94,20,3.36,few clouds,0.0,0.0
9,Larsnes,NO,2020-02-24 01:41:25,62.2,5.58,37.4,55,100,13.87,light snow,0.0,0.03464566929133858
10,Toledo,ES,2020-02-24 01:41:25,39.83,-4.0,48.99,84,0,2.77,clear sky,0.0,0.0
11,Proddatur,IN,2020-02-24 01:41:25,14.73,78.55,73.92,69,99,4.81,overcast clouds,0.0,0.0
12,Necochea,AR,2020-02-24 01:41:25,-38.55,-58.74,64.0,70,0,10.0,clear sky,0.0,0.0
13,Kambove,CD,2020-02-24 01:41:26,-10.88,26.6,63.01,97,100,8.12,overcast clouds,0.0,0.0
14,Narsaq,GL,2020-02-24 01:41:26,60.92,-46.05,23.0,67,100,13.87,snow,0.0,0.09370078740157481
15,Tyukhtet,RU,2020-02-24 01:41:26,56.54,89.3,13.19,94,67,2.73,broken clouds,0.0,0.0
16,Krasnoborsk,RU,2020-02-24 01:41:27,61.56,45.93,28.02,91,67,7.09,broken clouds,0.0,0.0
17,Havoysund,NO,2020-02-24 01:41:27,71.0,24.66,33.8,80,75,13.87,broken clouds,0.0,0.0
18,Cidreira,BR,2020-02-24 01:41:27,-30.18,-50.21,72.64,75,15,25.12,few clouds,0.0,0.0
19,Dikson,RU,2020-02-24 01:41:27,73.51,80.55,23.9,91,100,27.76,light snow,0.0,0.01968503937007874
20,Neftcala,AZ,2020-02-24 01:41:27,39.37,49.25,47.73,88,91,11.7,overcast clouds,0.0,0.0
21,East London,ZA,2020-02-24 01:41:28,-33.02,27.91,63.61,68,10,3.29,clear sky,0.0,0.0
22,Presidencia Roque Saenz Pena,AR,2020-02-24 01:38:46,-26.79,-60.44,62.53,68,0,0.43,clear sky,0.0,0.0
23,Saint Anthony,US,2020-02-24 01:41:28,45.02,-93.22,37.4,64,1,9.17,clear sky,0.0,0.0
24,Valparaiso,CL,2020-02-24 01:41:28,-33.04,-71.63,59.0,82,1,5.53,clear sky,0.0,0.0
25,Viedma,AR,2020-02-24 01:41:28,-40.81,-63.0,78.8,34,0,16.35,clear sky,0.0,0.0
26,Qaanaaq,GL,2020-02-24 01:41:29,77.48,-69.36,-17.82,59,0,6.38,clear sky,0.0,0.0
27,Alencon,FR,2020-02-24 01:41:29,48.43,0.08,51.8,100,90,6.93,overcast clouds,0.0,0.0
28,Muros,ES,2020-02-24 01:41:30,42.78,-9.06,54.0,100,40,1.12,fog,0.0,0.0
29,Ushuaia,AR,2020-02-24 01:37:02,-54.8,-68.3,44.6,70,40,20.8,shower rain,0.0,0.0
30,Hithadhoo,MV,2020-02-24 01:41:30,-0.6,73.08,83.39,79,78,13.49,light rain,0.007480314960629922,0.0
31,Witu,KE,2020-02-24 01:41:30,-2.39,40.44,79.92,85,54,5.7,broken clouds,0.0,0.0
32,Dingle,PH,2020-02-24 01:41:31,11.0,122.67,82.51,70,89,14.38,light rain,0.024803149606299216,0.0
33,Mombasa,KE,2020-02-24 01:41:31,-4.05,39.66,76.1,93,52,3.62,broken clouds,0.0,0.0
34,Washington,US,2020-02-24 01:41:00,47.5,-120.5,42.8,52,1,26.4,snow,0.0,0.0
35,Kibaya,TZ,2020-02-24 01:41:31,-5.3,36.57,61.92,98,100,4.54,overcast clouds,0.0,0.0
36,Najran,SA,2020-02-24 01:41:31,17.49,44.13,62.6,42,24,4.7,few clouds,0.0,0.0
37,Arraial Do Cabo,BR,2020-02-24 01:41:32,-22.97,-42.03,75.34,70,100,7.4,overcast clouds,0.0,0.0
38,Longyearbyen,SJ,2020-02-24 01:41:32,78.22,15.64,-5.8,83,40,4.7,scattered clouds,0.0,0.0
39,Marzuq,YE,2020-02-24 01:41:32,14.4,46.47,55.47,20,42,2.95,scattered clouds,0.0,0.0
40,Jamestown,US,2020-02-24 01:40:08,42.1,-79.24,46.4,33,90,10.29,overcast clouds,0.0,0.0
41,Penzance,GB,2020-02-24 01:41:33,50.12,-5.54,53.01,100,90,25.28,overcast clouds,0.0,0.0
42,Southampton,GB,2020-02-24 01:39:02,50.9,-1.4,46.0,100,100,6.93,light intensity drizzle,0.0,0.0
43,Jumla,NP,2020-02-24 01:41:33,29.27,82.18,37.47,41,48,2.91,scattered clouds,0.0,0.0
44,Vila Velha,BR,2020-02-24 01:41:33,-20.33,-40.29,75.2,73,75,5.82,broken clouds,0.0,0.0
45,Sabirabad,AZ,2020-02-24 01:41:34,40.01,48.48,44.6,100,90,9.17,mist,0.0,0.0
46,Talnakh,RU,2020-02-24 01:41:34,69.49,88.4,17.6,92,90,31.32,overcast clouds,0.0,0.0
47,Port Alfred,ZA,2020-02-24 01:41:34,-33.59,26.89,59.0,83,0,3.47,clear sky,0.0,0.0
48,Padang,ID,2020-02-24 01:41:34,-0.95,100.35,78.62,65,0,7.27,clear sky,0.0,0.0
49,Ust-Ishim,RU,2020-02-24 01:41:34,57.69,71.17,15.71,96,99,5.91,overcast clouds,0.0,0.0
50,Ponta Do Sol,PT,2020-02-24 01:41:35,32.67,-17.1,66.99,48,20,16.11,few clouds,0.0,0.0
51,Lebu,CL,2020-02-24 01:41:35,-37.62,-73.65,54.66,96,17,5.23,few clouds,0.0,0.0
52,Lukovetskiy,RU,2020-02-24 01:41:35,64.3,41.92,33.8,96,90,6.71,overcast clouds,0.0,0.0
53,Carpinis,RO,2020-02-24 01:41:35,45.79,20.9,50.0,61,100,3.36,light rain,0.00984251968503937,0.0
54,Punta Arenas,CL,2020-02-24 01:41:35,-53.15,-70.92,46.4,65,75,35.57,broken clouds,0.0,0.0
55,Marawi,PH,2020-02-24 01:41:36,8.0,124.29,80.01,79,0,5.01,clear sky,0.0,0.0
56,Kudahuvadhoo,MV,2020-02-24 01:41:36,2.67,72.89,82.99,77,55,17.09,broken clouds,0.0,0.0
57,Zaozerne,UA,2020-02-24 01:41:36,45.16,33.28,45.46,80,100,28.74,light rain,0.024803149606299216,0.0
58,Bud,US,2020-02-24 01:41:36,39.45,-86.18,48.2,56,40,5.82,scattered clouds,0.0,0.0
59,Dharchula,IN,2020-02-24 01:41:37,29.85,80.53,37.72,40,98,6.4,overcast clouds,0.0,0.0
60,Mehamn,NO,2020-02-24 01:41:37,71.04,27.85,30.81,84,100,7.83,light snow,0.0,0.005118110236220473
61,Qandala,SO,2020-02-24 01:41:37,11.47,49.87,72.25,76,69,3.09,broken clouds,0.0,0.0
62,Utete,TZ,2020-02-24 01:41:37,-7.99,38.76,74.57,97,28,1.48,scattered clouds,0.0,0.0
63,Tasiilaq,GL,2020-02-24 01:41:38,65.61,-37.64,8.6,71,0,3.36,clear sky,0.0,0.0
64,Sao Miguel Do Araguaia,BR,2020-02-24 01:41:38,-13.28,-50.16,74.17,89,100,0.89,overcast clouds,0.0,0.0
65,Hermanus,ZA,2020-02-24 01:41:38,-34.42,19.23,63.0,74,0,11.99,clear sky,0.0,0.0
66,Ribeira Grande,PT,2020-02-24 01:41:38,38.52,-28.7,55.54,84,87,7.36,overcast clouds,0.0,0.0
67,Ayagoz,KZ,2020-02-24 01:41:38,47.97,80.44,11.86,94,100,5.84,overcast clouds,0.0,0.0
68,Harrisonburg,US,2020-02-24 01:41:39,38.45,-78.87,46.4,44,90,4.03,overcast clouds,0.0,0.0
69,Codrington,AU,2020-02-24 01:41:39,-38.27,141.97,62.82,86,51,13.11,broken clouds,0.0,0.0
70,Mafeteng,LS,2020-02-24 01:41:39,-29.82,27.24,52.25,74,0,1.1,clear sky,0.0,0.0
71,Owando,CG,2020-02-24 01:41:39,-0.48,15.9,74.37,94,100,2.59,overcast clouds,0.0,0.0
72,Victoria,HK,2020-02-24 01:37:42,22.29,114.16,73.0,68,20,18.34,few clouds,0.0,0.0
73,Bambous Virieux,MU,2020-02-24 01:41:40,-20.34,57.76,73.99,94,20,3.36,few clouds,0.0,0.0
74,Skagen,DK,2020-02-24 01:41:40,57.72,10.58,42.01,78,0,1.99,clear sky,0.0,0.0
75,Ugoofaaru,MV,2020-02-24 01:41:40,5.67,73.0,83.16,77,54,17.81,light rain,0.00984251968503937,0.0
76,Vila Franca Do Campo,PT,2020-02-24 01:41:40,37.72,-25.43,55.4,93,20,4.7,few clouds,0.0,0.0
77,Cabedelo,BR,2020-02-24 01:41:41,-6.98,-34.83,82.4,78,20,10.29,few clouds,0.0,0.0
78,Upernavik,GL,2020-02-24 01:41:41,72.79,-56.15,-19.8,86,1,4.72,clear sky,0.0,0.0
79,Clyde River,CA,2020-02-24 01:41:41,70.47,-68.59,-20.2,75,40,16.11,light snow,0.0,0.0
80,Calabar,NG,2020-02-24 01:41:41,4.95,8.32,78.75,93,100,1.63,overcast clouds,0.0,0.0
81,Lumeje,AO,2020-02-24 01:41:42,-11.55,20.78,67.17,88,100,10.96,light rain,0.024803149606299216,0.0
82,Dulce Nombre De Culmi,HN,2020-02-24 01:41:42,15.1,-85.53,60.57,94,0,2.75,clear sky,0.0,0.0
